,date,sp500_price,tbill,rpc_consumption,price
0,1954-09-21,31.7900009155273,0.9038333333333333,4988.999999999999,26.897298967400577
1,1955-06-13,39.6199989318847,1.2257777777777779,5159.877777777778,26.768601088069637
2,1956-03-02,45.810001373291,2.1078333333333337,5277.749305555555,26.819572174844478
3,1956-11-20,44.8899993896484,2.6023888888888886,5322.749999999999,27.245943744077785
4,1957-08-09,46.9199981689453,3.1375000000000006,5352.5875000000015,27.939579126130738
5,1958-05-02,43.6899986267089,2.5449999999999995,5337.558333333334,28.606634152585766
6,1959-01-23,56.0,1.9331111111111112,5333.169444444445,28.93641290322581
7,1959-10-09,57.0,3.171444444444444,5523.25,29.10994039511862
8,1960-07-01,57.060001373291,3.6595000000000004,5549.762500000001,29.47256009557945
9,1961-03-24,64.4199981689453,2.3371666666666666,5567.972916666666,29.74649892473118
10,1961-12-13,72.5299987792968,2.3384444444444443,5582.749999999999,29.92272998805257
11,1962-08-31,59.1199989318847,2.7503888888888888,5757.970138888889,30.192439161973034
12,1963-05-24,70.0199966430664,2.8596111111111107,5853.8888888888905,30.453138846219492
13,1964-02-14,77.4800033569336,3.3578333333333323,5967.375694444446,30.792719235364398
14,1964-11-02,85.1800003051757,3.5053333333333336,6187.874999999998,31.025073936060643
15,1965-07-26,84.0500030517578,3.849666666666667,6431.0999999999985,31.401838867554186
16,1966-04-14,91.870002746582,4.267833333333334,6614.425000000001,31.871630005120334
17,1967-01-04,80.5500030517578,4.956388888888888,6789.912500000001,32.67088787335723
18,1967-09-21,96.75,4.126833333333334,6915.625,33.23937216248506
19,1968-06-14,101.129997253417,5.0697222222222225,7120.123611111111,34.20418123017345
20,1969-04-11,101.650001525878,5.655333333333332,7314.563194444443,35.53450443761734
21,1970-01-02,93.0,6.894777777777778,7438.487499999998,37.07157945041816
22,1970-09-18,82.620002746582,6.762277777777778,7525.749999999998,38.653135518006486
23,1971-06-11,101.069999694824,4.497611111111111,7642.377083333333,39.949393795869604
24,1972-03-01,107.349998474121,4.337555555555555,7804.795833333332,40.987725806451614
25,1972-11-17,115.489997863769,4.093333333333333,8100.249999999998,41.86298984468339
26,1973-08-10,104.769996643066,6.310111111111111,8372.781249999998,43.602431728963985
27,1974-05-06,91.120002746582,7.860055555555556,8350.581944444442,46.76274202082268
28,1975-01-24,72.9800033569336,7.70188888888889,8283.725694444443,50.6573028673835
29,1975-10-14,89.2799987792968,5.801277777777778,8379.374999999998,53.674033794162824
30,1976-07-06,103.540000915527,5.186611111111111,8650.841666666664,56.043783895686566
31,1977-03-24,99.6999969482421,4.813722222222222,8850.984722222223,58.34748451100869
32,1977-12-14,94.0299987792968,5.414444444444444,9040.000000000002,61.11196338965694
33,1978-09-05,104.489997863769,6.573333333333335,9318.497916666664,64.39466239972693
34,1979-05-25,100.220001220703,8.987833333333333,9402.20486111111,69.03319324970133
35,1980-02-19,114.599998474121,10.770555555555555,9428.22291666667,75.52939426523298
36,1980-11-05,131.330001831054,10.561555555555556,9315.625,82.70908050096813
37,1981-07-28,129.139999389648,14.69383333333333,9343.927083333336,88.93634707287931
38,1982-04-20,115.440002441406,13.029222222222224,9370.263888888887,94.03763620071688
39,1983-01-07,145.179992675781,9.624388888888891,9409.78125,97.51565412186379
40,1983-09-23,169.509994506835,8.571722222222222,9839.625,99.23128848779653
41,1984-06-15,149.029998779296,9.220888888888888,10112.829861111111,102.4546012441808
42,1985-03-11,178.789993286132,9.221666666666668,10378.608333333332,105.25060842293907
43,1985-11-27,202.539993286132,7.357555555555556,10702.999999999998,107.90581818569721
44,1986-08-18,247.380004882812,6.439888888888889,11002.541666666668,109.39344939409457
45,1987-05-08,293.369995117187,5.440166666666666,11177.900000000001,111.34926463560332
46,1988-01-28,253.289993286132,5.885111111111112,11354.224999999999,114.7932544802867
47,1988-10-14,275.5,6.423333333333334,11683.624999999998,118.11194168417583
48,1989-07-06,321.549987792968,8.270833333333334,11845.491666666665,122.30449598907661
49,1990-03-26,337.630004882812,7.751055555555556,11944.962500000001,126.37281728963988
50,1990-12-12,330.190002441406,7.471166666666666,12015.875000000004,131.57771411503668
51,1991-08-30,395.429992675781,5.7606111111111105,11887.541666666668,135.56754062126643
52,1992-05-21,412.600006103515,4.227555555555556,12027.68888888889,138.49428581139537
53,1993-02-10,446.230010986328,3.1502777777777777,12191.775000000001,141.60444265232974
54,1993-10-28,467.730010986328,2.980611111111111,12413.625000000004,144.48449965864484
55,1994-07-20,451.600006103515,3.5453333333333337,12661.556944444445,147.13240365250041
56,1995-04-10,507.010009765625,5.237388888888888,12823.147222222226,150.19189840416453
57,1995-12-27,614.530029296875,5.404888888888889,12961.125000000004,153.05993249701316
58,1996-09-13,680.539978027343,5.013055555555555,13252.105555555556,156.343578193878
59,1997-06-05,843.429992675781,5.037277777777778,13454.736805555553,159.39733678955454
60,1998-02-25,1042.90002441406,5.053277777777778,13705.064583333333,161.40305256869772
61,1998-11-12,1117.68994140625,4.788777777777778,14146.875,163.09947311827955
62,1999-08-03,1322.18005371093,4.440444444444444,14617.275000000001,165.50399953063666
63,2000-04-20,1434.5400390625,5.185611111111111,14971.093055555557,169.250241008528
64,2001-01-09,1300.80004882812,5.91461111111111,15310.795833333332,173.34112843488649
65,2001-10-02,1051.32995605468,3.844611111111111,15533.250000000002,177.09668633725894
66,2002-06-24,992.719970703125,1.779777777777778,15698.583333333332,178.41622171018946
67,2003-03-14,833.27001953125,1.4055555555555554,15878.92361111111,181.78602880184334
68,2003-12-02,1066.61999511718,0.9796666666666667,16132.874999999996,184.12227568697733
