Date,Close
1965-12-30,1417.8299560546875
1966-12-30,1452.0999755859375
1967-12-29,1283.469970703125
1968-12-30,1699.0799560546875
1969-12-30,2348.030029296875
1970-12-30,1987.1400146484373
1971-12-30,2713.739990234375
1972-12-29,5207.93994140625
1973-12-28,4306.7998046875
1974-12-30,3836.929931640625
1975-12-30,4342.06005859375
1976-12-30,4990.85009765625
1977-12-30,4863.009765625
1978-12-29,6001.85009765625
1979-12-28,6569.47021484375
1980-12-30,7063.1298828125
1981-12-30,7681.83984375
1982-12-28,8016.669921875
1983-12-28,9893.8203125
1984-12-28,11542.599609375
1985-12-27,13083.1796875
1986-12-26,18820.650390625
1987-12-28,21564.0
1988-12-28,30159.0
1989-12-29,38915.87109375
1990-12-28,23848.7109375
1991-12-30,22983.76953125
1992-12-30,16924.94921875
1993-12-30,17417.240234375
1994-12-30,19723.060546875
1995-12-29,19868.150390625
1996-12-30,19361.349609375
1997-12-30,15258.740234375
1998-12-30,13842.169921875
1999-12-30,18934.33984375
2000-12-29,13785.6904296875
2001-12-28,10542.6201171875
2002-12-30,8578.9501953125
2003-12-30,10676.6396484375
2004-12-30,11488.759765625
2005-12-30,16111.4296875
2006-12-29,17225.830078125
2007-12-27,15564.6904296875
2008-12-29,8747.169921875
2009-12-30,10546.4404296875
2010-12-30,10228.919921875
2011-12-30,8455.349609375
2012-12-28,10395.1796875
2013-12-30,16291.3095703125
2014-12-30,17450.76953125
2015-12-30,19033.7109375
2016-12-30,19114.369140625
2017-12-29,22764.939453125
2018-12-28,20014.76953125
2019-12-30,23656.619140625
2020-12-30,27444.169921875
