Date,Close
1984-12-31,1232.199951171875
1985-12-31,1412.5999755859375
1986-12-31,1679.0
1987-12-31,1713.9000244140625
1988-12-30,1793.0999755859375
1989-12-29,2422.699951171875
1990-12-31,2143.5
1991-12-31,2493.10009765625
1992-12-31,2846.5
1993-12-31,3418.39990234375
1994-12-30,3065.5
1995-12-29,3689.300048828125
1996-12-31,4118.5
1997-12-31,5135.5
1998-12-30,5882.60009765625
1999-12-30,6930.2001953125
2000-12-29,6222.5
2001-12-31,5217.39990234375
2002-12-31,3940.39990234375
2003-12-31,4476.89990234375
2004-12-31,4814.2998046875
2005-12-30,5618.7998046875
2006-12-28,6241.0
2007-12-28,6476.89990234375
2008-12-30,4392.7001953125
2009-12-30,5397.89990234375
2010-12-31,5899.89990234375
2011-12-30,5572.2998046875
2012-12-31,5897.7998046875
2013-12-30,6731.2998046875
2014-12-30,6547.0
2015-12-30,6274.10009765625
2016-12-30,7142.7998046875
2017-12-29,7687.7998046875
2018-12-31,6728.10009765625
2019-12-31,7542.39990234375
2020-12-31,6460.5
